Confirmed,Recovered,Deaths,Remaining,Date_last_updated_IST,Date_last_updated,date_day,New
11,11,0,0,2020-04-16 02:00:00,,2020-04-16,0
11,11,0,0,2020-04-15 20:35:00,,2020-04-15,0
11,11,0,0,2020-04-14 23:37:00,,2020-04-14,0
11,11,0,0,2020-04-13 21:50:00,,2020-04-13,0
11,11,0,0,2020-04-12 21:08:00,,2020-04-12,0
11,11,0,0,2020-04-11 07:00:00,,2020-04-11,0
11,11,0,0,2020-04-10 22:00:00,,2020-04-10,0
11,11,0,0,2020-04-09 22:00:00,,2020-04-09,0
11,11,0,0,2020-04-08 23:00:00,,2020-04-08,0
11,10,0,1,2020-04-07 23:00:00,,2020-04-07,0
11,4,0,7,2020-04-06 23:00:00,,2020-04-06,0
11,3,0,8,2020-04-05 23:00:00,,2020-04-05,0
11,3,0,8,2020-04-04 23:50:00,,2020-04-04,1
10,3,0,7,2020-04-03 23:30:00,,2020-04-03,0
10,2,0,8,2020-04-02 23:30:00,,2020-04-02,0
10,2,0,8,2020-04-01 23:00:00,,2020-04-01,0
10,2,0,8,2020-03-31 23:30:00,,2020-03-31,0
10,2,0,8,2020-03-30 22:30:00,,2020-03-30,0
10,2,0,8,2020-03-29 23:10:00,,2020-03-29,0
10,2,0,8,2020-03-28 23:30:00,,2020-03-28,0
10,2,0,8,2020-03-27 23:30:00,,2020-03-27,4
6,2,0,4,2020-03-26 22:40:00,,2020-03-26,0
6,2,0,4,2020-03-25 22:00:00,,2020-03-25,1
5,2,0,3,2020-03-24 22:30:00,,2020-03-24,1
4,0,0,4,2020-03-23 23:40:00,,2020-03-23,0
4,0,0,4,2020-03-22 22:30:00,,2020-03-22,2
2,0,0,2,2020-03-21 23:30:00,,2020-03-21,0
2,0,0,2,2020-03-20 22:45:00,,2020-03-20,0
2,0,0,2,2020-03-19 23:30:00,,2020-03-19,0
2,0,0,2,2020-03-18 23:30:00,,2020-03-18,1
1,0,0,1,2020-03-17 22:30:00,,2020-03-17,0
1,0,0,1,2020-03-16 22:00:00,,2020-03-16,0
